HealthRecordID,LivestockID,CheckDate,Notes,Treatment
3881,3881,2023/12/16 00:00:00,Exhibiting signs of heat stress.,Deworming
3882,3882,2020/09/19 00:00:00,Wound from fencing; disinfected and bandaged.,Deworming
3883,3883,2021/08/05 00:00:00,Loss of appetite for 2 days.,Vaccination (Anthrax)
3884,3884,2021/07/23 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
3885,3885,2021/11/19 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
3886,3886,2021/11/23 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
3887,3887,2020/12/15 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
3888,3888,2021/06/07 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
3889,3889,2021/07/03 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
3890,3890,2021/10/18 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
3891,3891,2023/11/13 00:00:00,Loss of appetite for 2 days.,Vaccination (Anthrax)
3892,3892,2023/04/09 00:00:00,Routine check-up; all vitals normal.,Multivitamin Supplement
3893,3893,2022/10/18 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
3894,3894,2024/01/26 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
3895,3895,2022/04/13 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
3896,3896,2021/09/17 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
3897,3897,2021/03/14 00:00:00,Minor cut observed on front leg.,Deworming
3898,3898,2022/07/24 00:00:00,Minor cut observed on front leg.,Deworming
3899,3899,2022/02/12 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
3900,3900,2020/11/12 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
3901,3901,2023/10/06 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
3902,3902,2021/05/01 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
3903,3903,2021/09/19 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
3904,3904,2024/04/16 00:00:00,Exhibiting signs of heat stress.,Deworming
3905,3905,2023/03/17 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
3906,3906,2022/11/12 00:00:00,Loss of appetite for 2 days.,Foot Rot Treatment
3907,3907,2024/04/07 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
3908,3908,2024/01/10 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
3909,3909,2023/07/06 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
3910,3910,2021/06/09 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
3911,3911,2021/04/06 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
3912,3912,2021/03/22 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
3913,3913,2022/12/23 00:00:00,Increased weight gain; healthy condition.,Deworming
3914,3914,2023/06/26 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
3915,3915,2021/12/05 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
3916,3916,2022/12/24 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
3917,3917,2022/07/16 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
3918,3918,2021/02/26 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
3919,3919,2021/03/03 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
3920,3920,2021/08/12 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
3921,3921,2020/07/01 00:00:00,Loss of appetite for 2 days.,Vitamin B12 Injection
3922,3922,2023/02/11 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
3923,3923,2023/05/02 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
3924,3924,2023/05/27 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
3925,3925,2023/07/09 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
3926,3926,2022/11/21 00:00:00,Routine check-up; all vitals normal.,Multivitamin Supplement
3927,3927,2022/07/22 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
3928,3928,2022/07/02 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
3929,3929,2021/09/24 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
3930,3930,2021/02/17 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
3931,3931,2022/09/11 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
3932,3932,2021/03/14 00:00:00,Exhibiting signs of heat stress.,Anti-inflammatory Injection
3933,3933,2022/05/07 00:00:00,Exhibiting signs of heat stress.,Deworming
3934,3934,2022/07/13 00:00:00,Loss of appetite for 2 days.,Anti-inflammatory Injection
3935,3935,2023/04/27 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
3936,3936,2022/09/02 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
3937,3937,2021/04/17 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
3938,3938,2022/02/08 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
3939,3939,2024/01/24 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
3940,3940,2023/06/17 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
3941,3941,2020/09/23 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
3942,3942,2022/09/09 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
3943,3943,2024/02/01 00:00:00,Increased weight gain; healthy condition.,Vitamin B12 Injection
3944,3944,2022/10/02 00:00:00,Loss of appetite for 2 days.,Foot Rot Treatment
3945,3945,2024/04/01 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
3946,3946,2021/06/05 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
3947,3947,2023/01/18 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
3948,3948,2024/06/03 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
3949,3949,2020/10/23 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
3950,3950,2022/01/20 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
3951,3951,2022/05/19 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
3952,3952,2021/08/19 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
3953,3953,2023/07/25 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
3954,3954,2021/07/02 00:00:00,Routine check-up; all vitals normal.,Deworming
3955,3955,2022/09/08 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
3956,3956,2023/06/03 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
3957,3957,2022/09/12 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
3958,3958,2024/05/16 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
3959,3959,2022/10/06 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
3960,3960,2020/12/25 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
3961,3961,2021/12/14 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
3962,3962,2021/02/10 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
3963,3963,2021/07/08 00:00:00,Hoof trimmed and cleaned.,Electrolytes Added to Water
3964,3964,2023/02/15 00:00:00,Mild coughing; vitamin booster given.,Deworming
3965,3965,2021/12/18 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
3966,3966,2022/06/22 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
3967,3967,2020/07/23 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
3968,3968,2021/03/24 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
3969,3969,2021/01/21 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
3970,3970,2022/07/20 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
3971,3971,2023/05/03 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
3972,3972,2024/04/23 00:00:00,Minor cut observed on front leg.,Deworming
3973,3973,2021/05/25 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
3974,3974,2021/09/08 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
3975,3975,2024/03/17 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
3976,3976,2024/02/05 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
3977,3977,2021/10/02 00:00:00,Minor cut observed on front leg.,Deworming
3978,3978,2022/06/14 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
3979,3979,2022/05/23 00:00:00,Routine check-up; all vitals normal.,Antibiotics (Oxytetracycline)
3980,3980,2022/02/27 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
3981,3981,2022/03/08 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
3982,3982,2023/10/07 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
3983,3983,2021/02/09 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
3984,3984,2024/04/21 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
3985,3985,2022/03/10 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
3986,3986,2024/06/22 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
3987,3987,2021/03/12 00:00:00,Vaccination administered; no side effects.,Deworming
3988,3988,2023/06/26 00:00:00,Minor cut observed on front leg.,Multivitamin Supplement
3989,3989,2021/03/22 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
3990,3990,2023/02/16 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
3991,3991,2023/05/20 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
3992,3992,2022/11/01 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
3993,3993,2023/12/04 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
3994,3994,2022/09/15 00:00:00,Minor cut observed on front leg.,Multivitamin Supplement
3995,3995,2024/05/06 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
3996,3996,2023/06/17 00:00:00,Vaccination administered; no side effects.,Foot Rot Treatment
3997,3997,2021/11/21 00:00:00,Minor cut observed on front leg.,Deworming
3998,3998,2022/06/04 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
3999,3999,2022/06/06 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
4000,4000,2023/02/13 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
4001,4001,2021/07/20 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
4002,4002,2023/03/05 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
4003,4003,2024/03/21 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
4004,4004,2023/03/23 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
4005,4005,2022/08/04 00:00:00,Wound from fencing; disinfected and bandaged.,Deworming
4006,4006,2021/03/09 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
4007,4007,2020/12/23 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
4008,4008,2021/02/25 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
4009,4009,2023/04/06 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
4010,4010,2022/09/03 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
4011,4011,2024/04/24 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
4012,4012,2022/06/17 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
4013,4013,2020/11/13 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
4014,4014,2022/05/26 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
4015,4015,2024/04/10 00:00:00,Loss of appetite for 2 days.,Deworming
4016,4016,2023/05/11 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
4017,4017,2024/01/24 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
4018,4018,2022/01/17 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
4019,4019,2021/07/27 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
4020,4020,2021/11/06 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
4021,4021,2022/10/06 00:00:00,Minor cut observed on front leg.,Deworming
4022,4022,2023/11/12 00:00:00,Increased weight gain; healthy condition.,Deworming
4023,4023,2023/01/11 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
4024,4024,2022/01/02 00:00:00,Exhibiting signs of heat stress.,Deworming
4025,4025,2022/10/03 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
4026,4026,2024/05/20 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
4027,4027,2022/03/06 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
4028,4028,2022/11/17 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
4029,4029,2023/08/10 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
4030,4030,2023/02/12 00:00:00,Hoof trimmed and cleaned.,Anti-inflammatory Injection
4031,4031,2023/10/07 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
4032,4032,2021/08/04 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
4033,4033,2021/03/02 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
4034,4034,2023/11/22 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
4035,4035,2021/05/01 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
4036,4036,2023/06/12 00:00:00,Hoof trimmed and cleaned.,Electrolytes Added to Water
4037,4037,2021/12/03 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
4038,4038,2020/12/07 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
4039,4039,2021/09/07 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
4040,4040,2021/08/21 00:00:00,Minor infection treated; under observation.,Deworming
4041,4041,2022/05/19 00:00:00,Loss of appetite for 2 days.,Deworming
4042,4042,2023/10/11 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
4043,4043,2022/03/09 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
4044,4044,2023/02/09 00:00:00,Loss of appetite for 2 days.,Anti-inflammatory Injection
4045,4045,2021/08/02 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
4046,4046,2024/02/13 00:00:00,Minor infection treated; under observation.,Deworming
4047,4047,2021/09/17 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
4048,4048,2022/04/26 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
4049,4049,2022/07/15 00:00:00,Routine check-up; all vitals normal.,Fly Repellent Spray
4050,4050,2023/06/03 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
4051,4051,2023/04/27 00:00:00,Routine check-up; all vitals normal.,Deworming
4052,4052,2022/04/11 00:00:00,Loss of appetite for 2 days.,Deworming
4053,4053,2021/05/14 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
4054,4054,2020/08/27 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
4055,4055,2024/02/06 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
4056,4056,2022/01/18 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
4057,4057,2024/01/02 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
4058,4058,2022/09/16 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
4059,4059,2022/11/25 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
4060,4060,2024/01/22 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
4061,4061,2022/06/21 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
4062,4062,2021/02/04 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
4063,4063,2022/08/07 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
4064,4064,2023/04/25 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
4065,4065,2021/01/19 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
4066,4066,2023/03/22 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
4067,4067,2024/04/02 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
4068,4068,2024/04/09 00:00:00,Routine check-up; all vitals normal.,Antibiotics (Oxytetracycline)
4069,4069,2020/08/18 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
4070,4070,2022/08/10 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
4071,4071,2021/02/11 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
4072,4072,2023/10/27 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
4073,4073,2022/04/27 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
4074,4074,2023/07/25 00:00:00,Minor cut observed on front leg.,Deworming
4075,4075,2023/12/19 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
4076,4076,2024/05/05 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
4077,4077,2021/11/06 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
4078,4078,2020/11/17 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
4079,4079,2023/04/16 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
4080,4080,2021/08/26 00:00:00,Hoof trimmed and cleaned.,Fly Repellent Spray
4081,4081,2021/09/22 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
4082,4082,2023/06/07 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
4083,4083,2020/08/02 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
4084,4084,2024/02/23 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
4085,4085,2022/12/14 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
4086,4086,2021/05/07 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
4087,4087,2024/06/14 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
4088,4088,2021/02/15 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
4089,4089,2021/08/07 00:00:00,Minor cut observed on front leg.,Deworming
4090,4090,2023/04/07 00:00:00,Minor infection treated; under observation.,Deworming
4091,4091,2022/10/08 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
4092,4092,2021/03/07 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
4093,4093,2023/03/05 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
4094,4094,2021/02/03 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
4095,4095,2021/07/23 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
4096,4096,2021/09/01 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
4097,4097,2022/03/03 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
4098,4098,2023/03/15 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
4099,4099,2022/11/02 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
4100,4100,2023/06/18 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
4101,4101,2024/03/24 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
4102,4102,2022/11/04 00:00:00,Minor cut observed on front leg.,Deworming
4103,4103,2024/03/18 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
4104,4104,2021/02/05 00:00:00,Mild coughing; vitamin booster given.,Anti-inflammatory Injection
4105,4105,2021/07/16 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
4106,4106,2024/06/25 00:00:00,Minor cut observed on front leg.,Deworming
4107,4107,2022/02/20 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
4108,4108,2023/04/02 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
4109,4109,2021/01/26 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
4110,4110,2024/03/07 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
4111,4111,2024/04/05 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
4112,4112,2023/08/12 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
4113,4113,2022/12/20 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
4114,4114,2021/06/26 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
4115,4115,2021/01/27 00:00:00,Loss of appetite for 2 days.,Vaccination (Anthrax)
4116,4116,2023/08/04 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
4117,4117,2021/04/21 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
4118,4118,2022/12/01 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
4119,4119,2021/11/15 00:00:00,Mild coughing; vitamin booster given.,Deworming
4120,4120,2023/04/05 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
4121,4121,2024/04/01 00:00:00,Minor cut observed on front leg.,Deworming
4122,4122,2022/04/04 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
4123,4123,2024/06/03 00:00:00,Minor infection treated; under observation.,Deworming
4124,4124,2024/03/03 00:00:00,Exhibiting signs of heat stress.,Anti-inflammatory Injection
4125,4125,2024/06/20 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
4126,4126,2023/07/20 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
4127,4127,2021/06/12 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
4128,4128,2022/03/22 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
4129,4129,2022/10/20 00:00:00,Minor infection treated; under observation.,Deworming
4130,4130,2021/10/19 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
4131,4131,2024/03/07 00:00:00,Wound from fencing; disinfected and bandaged.,Deworming
4132,4132,2023/07/15 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
4133,4133,2021/08/27 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
4134,4134,2024/01/19 00:00:00,Routine check-up; all vitals normal.,Antibiotics (Oxytetracycline)
4135,4135,2021/06/27 00:00:00,Loss of appetite for 2 days.,Deworming
4136,4136,2021/09/03 00:00:00,Routine check-up; all vitals normal.,Deworming
4137,4137,2022/11/03 00:00:00,Exhibiting signs of heat stress.,Anti-inflammatory Injection
4138,4138,2022/03/24 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
4139,4139,2021/09/16 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
4140,4140,2022/10/06 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
4141,4141,2024/01/17 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
4142,4142,2024/03/18 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
4143,4143,2023/06/01 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
4144,4144,2020/07/21 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
4145,4145,2021/03/13 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
4146,4146,2023/11/14 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
4147,4147,2020/07/26 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
4148,4148,2024/03/18 00:00:00,Loss of appetite for 2 days.,Deworming
4149,4149,2022/07/21 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
4150,4150,2021/09/16 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
4151,4151,2023/01/16 00:00:00,Wound from fencing; disinfected and bandaged.,Vitamin B12 Injection
4152,4152,2020/08/09 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
4153,4153,2022/09/04 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
4154,4154,2022/07/15 00:00:00,Vaccination administered; no side effects.,Vitamin B12 Injection
4155,4155,2021/11/11 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
4156,4156,2021/06/25 00:00:00,Mild coughing; vitamin booster given.,Deworming
4157,4157,2023/04/03 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
4158,4158,2022/11/26 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
4159,4159,2023/11/27 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
4160,4160,2022/05/13 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
4161,4161,2022/02/26 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
4162,4162,2020/09/24 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
4163,4163,2021/09/02 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
4164,4164,2023/08/17 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
4165,4165,2021/07/01 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
4166,4166,2023/11/24 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
4167,4167,2020/12/24 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
4168,4168,2021/05/22 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
4169,4169,2022/01/13 00:00:00,Minor cut observed on front leg.,Deworming
4170,4170,2022/11/17 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
4171,4171,2021/10/12 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
4172,4172,2022/02/12 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
4173,4173,2023/10/13 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
4174,4174,2023/11/03 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
4175,4175,2023/10/23 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
4176,4176,2024/02/08 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
4177,4177,2023/04/15 00:00:00,Loss of appetite for 2 days.,Deworming
4178,4178,2023/07/21 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
4179,4179,2021/12/19 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
4180,4180,2020/08/02 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
4181,4181,2021/09/01 00:00:00,Minor infection treated; under observation.,Deworming
4182,4182,2023/12/13 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
4183,4183,2023/11/22 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
4184,4184,2021/04/18 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
4185,4185,2023/02/03 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
4186,4186,2022/02/24 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
4187,4187,2023/01/04 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
4188,4188,2022/04/07 00:00:00,Exhibiting signs of heat stress.,Deworming
